cik,name,featured
1080298,"REINHART PARTNERS, LLC.",0
1080351,MITCHELL CAPITAL MANAGEMENT CO,0
1080374,"JAG CAPITAL MANAGEMENT, LLC",0
1080382,EUBEL BRADY & SUTTMAN ASSET MANAGEMENT INC,0
1080493,MARCO INVESTMENT MANAGEMENT LLC,0
1080818,ENTRUST GLOBAL PARTNERS L L C,0
1081198,CYPRESS FUNDS LLC,0
1081407,GABELLI FUNDS LLC,0
1081698,"HEIGHTS CAPITAL MANAGEMENT, INC",0
1082215,NORTHEAST INVESTMENT MANAGEMENT,0
1082327,"FULLER & THALER ASSET MANAGEMENT, INC.",0
1082339,COLDSTREAM CAPITAL MANAGEMENT INC,0
1082491,CONDOR CAPITAL MANAGEMENT,0
1082621,HARVARD MANAGEMENT CO INC,0
1082917,"GW&K Investment Management, LLC",0
1085393,"BASSWOOD CAPITAL MANAGEMENT, L.L.C.",0
1085550,"SCF Partners, Inc.",0
1085867,BRAVE ASSET MANAGEMENT INC,0
1085936,SYSTEMATIC FINANCIAL MANAGEMENT LP,0
1086318,INTECH INVESTMENT MANAGEMENT LLC,0
1086416,SCOGGIN MANAGEMENT LP,0
1086477,"LONGVIEW ASSET MANAGEMENT, LLC",0
1086483,ZACKS INVESTMENT MANAGEMENT,0
1086619,SCHRODER INVESTMENT MANAGEMENT GROUP,0
1086762,"COBALT CAPITAL MANAGEMENT, INC.",0
1088731,BOURGEON CAPITAL MANAGEMENT LLC,0
1089755,"SOUTHERNSUN ASSET MANAGEMENT, LLC",0
1091923,PENINSULA ASSET MANAGEMENT INC,0
1091961,GOULD ASSET MANAGEMENT LLC /CA/,0
1092838,INTREPID CAPITAL MANAGEMENT INC,0
1093276,"NOTTINGHAM ADVISORS, INC.",0
1093589,ALTA CAPITAL MANAGEMENT LLC/,0
1093908,CHESAPEAKE CAPITAL CORP /IL/,0
1094584,PIN OAK INVESTMENT ADVISORS INC,0
1097218,Nationwide Fund Advisors,0
1097278,ADVENT CAPITAL MANAGEMENT /DE/,0
1097833,OPUS INVESTMENT MANAGEMENT INC,0
1099281,THIRD AVENUE MANAGEMENT LLC,0
1099905,WEBER CAPITAL MANAGEMENT LLC /ADV,0
1102578,EARNEST PARTNERS LLC,0
1103245,SMITHBRIDGE ASSET MANAGEMENT INC/DE,0
1103882,Paloma Partners Management Co,0
1103887,NWI MANAGEMENT LP,0
1104186,MASTERS CAPITAL MANAGEMENT LLC,0
1104329,CROSSLINK CAPITAL INC,0
1104883,SIRIOS CAPITAL MANAGEMENT L P,0
1105087,STADIUM CAPITAL MANAGEMENT LLC,0
1105467,SAWGRASS ASSET MANAGEMENT LLC,0
1105497,"MSD CAPITAL, L.P.",0
1105863,AUXIER ASSET MANAGEMENT LLC,0
1106129,JENSEN INVESTMENT MANAGEMENT INC,0
1106191,GMT CAPITAL CORP,0
1106500,JOHO CAPITAL LLC,0
1106565,STALEY CAPITAL ADVISERS INC,0
1106832,CASTLEARK MANAGEMENT LLC,0
1107261,"BRIDGEWAY CAPITAL MANAGEMENT, LLC",0
1107310,"EMINENCE CAPITAL, LP",0
1108831,STONERIDGE INVESTMENT PARTNERS LLC,0
1108969,"CHATHAM CAPITAL GROUP, INC.",0
